Date,Name,Open,High,Low,Close,Volume
02-01-2022,01.Bank,22.83,23.2,22.59,22.93,1842350.41
03-01-2022,01.Bank,23.03,23.29,22.74,22.9,1664989.63
04-01-2022,01.Bank,22.85,23.13,22.64,22.84,1354510.97
05-01-2022,01.Bank,22.91,23.2,22.7,22.98,1564334.81
06-01-2022,01.Bank,23.12,23.65,23,23.37,2586344.19
09-01-2022,01.Bank,23.47,23.62,22.98,23.14,1813583.91
10-01-2022,01.Bank,23.16,23.43,22.85,23.1,1656683.94
11-01-2022,01.Bank,23.22,23.61,22.98,23.25,2224838.94
12-01-2022,01.Bank,23.39,23.55,22.98,23.17,1756813.34
13-01-2022,01.Bank,23.2,23.41,22.89,23.05,1107172.59
16-01-2022,01.Bank,23.11,23.28,22.8,22.99,1383703.75
17-01-2022,01.Bank,23.07,23.33,22.88,23.11,1516483.38
18-01-2022,01.Bank,23.22,23.42,22.97,23.14,1507791.03
19-01-2022,01.Bank,23.12,23.35,22.91,23.11,1263888
20-01-2022,01.Bank,23.11,23.37,22.9,23.09,1167090.56
23-01-2022,01.Bank,23.1,23.23,22.81,22.93,1138402.84
24-01-2022,01.Bank,22.98,23.22,22.72,22.91,1023964.78
25-01-2022,01.Bank,22.93,23.19,22.77,22.98,944317.34
26-01-2022,01.Bank,22.62,22.83,22.4,22.62,735973.73
27-01-2022,01.Bank,22.69,22.87,22.47,22.65,740378.88
30-01-2022,01.Bank,22.64,22.85,22.43,22.58,1150238.97
31-01-2022,01.Bank,22.62,22.79,22.28,22.45,2844397.21
02-01-2022,02.Cement,100.56,102.43,99.83,100.89,196479.71
03-01-2022,02.Cement,111.9,112.97,110.8,111.82,374391.67
04-01-2022,02.Cement,102.53,103.96,101.3,102.64,312870.14
05-01-2022,02.Cement,103.24,104.34,101.46,102.23,390406.14
06-01-2022,02.Cement,103,106.1,101.93,104.27,872785.14
09-01-2022,02.Cement,104.54,106.93,102.64,104.1,1019975.29
10-01-2022,02.Cement,104.43,105.87,102.54,104.09,930655.71
