Transacted_Price_dollar,Area_SQFT,Unit Price_dollar_PSF,Sale_Date,Type_of_Sale,Type_of_Area,Area_SQM,Unit Price_dollar_PSM,Nett_Price_dollar,Number_of_Units,Tenure,Postal_District,Floor_Level
1240000,958,1294,23-Aug,Resale,Strata,89,13933,-,1,99 yrs lease commencing from 2014,27,01 to 05
1220000,914.94,1333,23-Aug,Resale,Strata,85,14353,-,1,99 yrs lease commencing from 2014,27,01 to 05
1270000,914.94,1388,23-Aug,Resale,Strata,85,14941,-,1,99 yrs lease commencing from 2014,27,06 to 10
1530000,1184.04,1292,23-Jul,Resale,Strata,110,13909,-,1,99 yrs lease commencing from 2014,27,06 to 10
1399900,1054.87,1327,23-Jul,Resale,Strata,98,14285,-,1,99 yrs lease commencing from 2014,27,06 to 10
1230000,947.23,1299,23-Jul,Resale,Strata,88,13977,-,1,99 yrs lease commencing from 2014,27,01 to 05
1220000,914.94,1333,23-Jul,Resale,Strata,85,14353,-,1,99 yrs lease commencing from 2014,27,01 to 05
1330000,958,1388,23-Jun,Resale,Strata,89,14944,-,1,99 yrs lease commencing from 2014,27,06 to 10
1330000,947.23,1404,23-Jun,Resale,Strata,88,15114,-,1,99 yrs lease commencing from 2014,27,06 to 10
1190000,914.94,1301,23-Jun,Resale,Strata,85,14000,-,1,99 yrs lease commencing from 2014,27,01 to 05
1300000,990.29,1313,23-Jun,Resale,Strata,92,14130,-,1,99 yrs lease commencing from 2014,27,01 to 05
1080000,731.95,1476,23-May,Resale,Strata,68,15882,-,1,99 yrs lease commencing from 2014,27,06 to 10
1300000,958,1357,23-May,Resale,Strata,89,14607,-,1,99 yrs lease commencing from 2014,27,01 to 05
1115000,731.95,1523,23-May,Resale,Strata,68,16397,-,1,99 yrs lease commencing from 2014,27,06 to 10
1250000,958,1305,23-May,Resale,Strata,89,14045,-,1,99 yrs lease commencing from 2014,27,06 to 10
1190000,882.65,1348,23-May,Resale,Strata,82,14512,-,1,99 yrs lease commencing from 2014,27,06 to 10
1180000,914.94,1290,23-May,Resale,Strata,85,13882,-,1,99 yrs lease commencing from 2014,27,01 to 05
1275000,958,1331,23-May,Resale,Strata,89,14326,-,1,99 yrs lease commencing from 2014,27,06 to 10
1510000,1140.98,1323,23-May,Resale,Strata,106,14245,-,1,99 yrs lease commencing from 2014,27,01 to 05
1140000,882.65,1292,23-May,Resale,Strata,82,13902,-,1,99 yrs lease commencing from 2014,27,01 to 05
1260000,958,1315,23-May,Resale,Strata,89,14157,-,1,99 yrs lease commencing from 2014,27,06 to 10
1470000,1108.69,1326,23-May,Resale,Strata,103,14272,-,1,99 yrs lease commencing from 2014,27,01 to 05
1140000,882.65,1292,23-Apr,Resale,Strata,82,13902,-,1,99 yrs lease commencing from 2014,27,01 to 05
1238888,958,1293,23-Apr,Resale,Strata,89,13920,-,1,99 yrs lease commencing from 2014,27,01 to 05
1520000,1140.98,1332,23-Apr,Resale,Strata,106,14340,-,1,99 yrs lease commencing from 2014,27,01 to 05
1210000,882.65,1371,23-Apr,Resale,Strata,82,14756,-,1,99 yrs lease commencing from 2014,27,06 to 10
1208000,914.94,1320,23-Apr,Resale,Strata,85,14212,-,1,99 yrs lease commencing from 2014,27,01 to 05
1320000,990.29,1333,23-Apr,Resale,Strata,92,14348,-,1,99 yrs lease commencing from 2014,27,01 to 05
1480000,1140.98,1297,23-Apr,Resale,Strata,106,13962,-,1,99 yrs lease commencing from 2014,27,01 to 05
1390000,1054.87,1318,23-Mar,Resale,Strata,98,14184,-,1,99 yrs lease commencing from 2014,27,06 to 10
1238888,990.29,1251,23-Mar,Resale,Strata,92,13466,-,1,99 yrs lease commencing from 2014,27,01 to 05
1520000,1087.16,1398,23-Mar,Resale,Strata,101,15050,-,1,99 yrs lease commencing from 2014,27,06 to 10
1200000,914.94,1312,23-Mar,Resale,Strata,85,14118,-,1,99 yrs lease commencing from 2014,27,01 to 05
1028000,753.48,1364,23-Mar,Resale,Strata,70,14686,-,1,99 yrs lease commencing from 2014,27,01 to 05
1278888,947.23,1350,23-Mar,Resale,Strata,88,14533,-,1,99 yrs lease commencing from 2014,27,06 to 10
1250000,914.94,1366,23-Mar,Resale,Strata,85,14706,-,1,99 yrs lease commencing from 2014,27,01 to 05
1240000,914.94,1355,23-Mar,Resale,Strata,85,14588,-,1,99 yrs lease commencing from 2014,27,06 to 10
1245000,914.94,1361,23-Mar,Resale,Strata,85,14647,-,1,99 yrs lease commencing from 2014,27,06 to 10
1528000,1270.15,1203,23-Mar,Resale,Strata,118,12949,-,1,99 yrs lease commencing from 2014,27,06 to 10
1300000,990.29,1313,23-Mar,Resale,Strata,92,14130,-,1,99 yrs lease commencing from 2014,27,01 to 05
1200000,882.65,1360,23-Mar,Resale,Strata,82,14634,-,1,99 yrs lease commencing from 2014,27,01 to 05
970000,753.48,1287,23-Mar,Resale,Strata,70,13857,-,1,99 yrs lease commencing from 2014,27,01 to 05
1288000,990.29,1301,23-Mar,Resale,Strata,92,14000,-,1,99 yrs lease commencing from 2014,27,06 to 10
1155888,882.65,1310,23-Mar,Resale,Strata,82,14096,-,1,99 yrs lease commencing from 2014,27,01 to 05
1158000,882.65,1312,23-Mar,Resale,Strata,82,14122,-,1,99 yrs lease commencing from 2014,27,01 to 05
1200000,914.94,1312,23-Mar,Resale,Strata,85,14118,-,1,99 yrs lease commencing from 2014,27,01 to 05
1195000,914.94,1306,23-Mar,Resale,Strata,85,14059,-,1,99 yrs lease commencing from 2014,27,06 to 10
1250000,947.23,1320,23-Mar,Resale,Strata,88,14205,-,1,99 yrs lease commencing from 2014,27,11 to 15
1262000,936.47,1348,23-Mar,Resale,Strata,87,14506,-,1,99 yrs lease commencing from 2014,27,06 to 10
